id,rate
1001,0
1003,0
1005,0
1007,0
1009,0
1011,0
1013,0
1015,0
1017,0
1019,0
1021,0
1023,0
1025,0
1027,0
1029,0
1031,0
1033,0
1035,0
1037,0
1039,0
1041,0
1043,0
1045,0
1047,0
1049,0
1051,0
1053,0
1055,0
1057,0
1059,0
1061,0
1063,0
1065,0
1067,0
1069,0
1071,0
1073,0
1075,0
1077,0
1079,0
1081,0
1083,0
1085,0
1087,0
1089,0
1091,0
1093,0
1095,0
1097,0
1099,0
1101,0
1103,0
1105,0
1107,0
1109,0
1111,0
1113,0
1115,0
1117,0
1119,0
1121,0
1123,0
1125,0
1127,0
1129,0
1131,0
1133,0
2013,0
2016,0
2020,0
2050,0
2060,0
2068,0
2070,0
2090,0
2100,0
2110,0
2122,0
2130,0
2150,0
2164,0
2170,0
2180,0
2185,0
2188,0
2201,0
2220,0
2232,0
2240,0
2261,0
2270,0
2280,0
2282,0
2290,0
4001,4
4003,4
4005,4
4007,4
4009,4
4011,4
4012,4
4013,4
4015,4
4017,4
4019,4
4021,4
4023,4
4025,4
4027,4
5001,3
5003,3
5005,3
5007,3
5009,3
5011,3
5013,3
5015,3
5017,3
5019,3
5021,3
5023,3
5025,3
5027,3
5029,3
5031,3
5033,3
5035,3
5037,3
5039,3
5041,3
5043,3
5045,3
5047,3
5049,3
5051,3
5053,3
5055,3
5057,3
5059,3
5061,3
5063,3
5065,3
5067,3
5069,3
5071,3
5073,3
5075,3
5077,3
5079,3
5081,3
5083,3
5085,3
5087,3
5089,3
5091,3
5093,3
5095,3
5097,3
5099,3
5101,3
5103,3
5105,3
5107,3
5109,3
5111,3
5113,3
5115,3
5117,3
5119,3
5121,3
5123,3
5125,3
5127,3
5129,3
5131,3
5133,3
5135,3
5137,3
5139,3
5141,3
5143,3
5145,3
5147,3
5149,3
6001,8
6003,8
6005,8
6007,8
6009,8
6011,8
6013,8
6015,8
6017,8
6019,8
6021,8
6023,8
6025,8
6027,8
6029,8
6031,8
6033,8
6035,8
6037,8
6039,8
6041,8
6043,8
6045,8
6047,8
6049,8
6051,8
6053,8
6055,8
6057,8
6059,8
6061,8
6063,8
6065,8
6067,8
6069,8
6071,8
6073,8
6075,8
6077,8
6079,8
6081,8
6083,8
6085,8
6087,8
6089,8
6091,8
6093,8
6095,8
6097,8
6099,8
6101,8
6103,8
6105,8
6107,8
6109,8
6111,8
6113,8
6115,8
8001,1
8003,1
8005,1
8007,1
8009,1
8011,1
8013,1
8014,1
8015,1
8017,1
8019,1
8021,1
8023,1
8025,1
8027,1
8029,1
8031,1
8033,1
8035,1
8037,1
8039,1
8041,1
8043,1
8045,1
8047,1
8049,1
8051,1
8053,1
8055,1
8057,1
8059,1
8061,1
8063,1
8065,1
8067,1
8069,1
8071,1
8073,1
8075,1
8077,1
8079,1
8081,1
8083,1
8085,1
8087,1
8089,1
8091,1
8093,1
8095,1
8097,1
8099,1
8101,1
8103,1
8105,1
8107,1
8109,1
8111,1
8113,1
8115,1
8117,1
8119,1
8121,1
8123,1
8125,1
9001,0
9003,0
9005,0
9007,0
9009,0
9011,0
9013,0
9015,0
10001,0
10003,0
10005,0
11001,0
12001,1
12003,1
12005,1
12007,1
12009,1
12011,1
12013,1
12015,1
12017,1
12019,1
12021,1
12023,1
12027,1
12029,1
12031,1
12033,1
12035,1
12037,1
12039,1
12041,1
12043,1
12045,1
12047,1
12049,1
12051,1
12053,1
12055,1
12057,1
12059,1
12061,1
12063,1
12065,1
12067,1
12069,1
12071,1
12073,1
12075,1
12077,1
12079,1
12081,1
12083,1
12085,1
12086,1
12087,1
12089,1
12091,1
12093,1
12095,1
12097,1
12099,1
12101,1
12103,1
12105,1
12107,1
12109,1
12111,1
12113,1
12115,1
12117,1
12119,1
12121,1
12123,1
12125,1
12127,1
12129,1
12131,1
12133,1
13001,1
13003,1
13005,1
13007,1
13009,1
13011,1
13013,1
13015,1
13017,1
13019,1
13021,1
